Name,CreatedAt,UpdatedAt,PrimaryLanguage,Releases,PullRequests,Open Issues,Closed Issues,LastRelease,Stars
tips,2015-07-15 07:24:48 +0000 UTC,2022-08-31 06:43:22 +0000 UTC,JavaScript,0,138,16,17,No Releases,20412
libgdx,2012-08-10 19:34:38 +0000 UTC,2022-08-31 09:14:08 +0000 UTC,Java,9,2441,179,3342,2022-05-11T19:09:11Z,20394
mpvue,2018-03-07 03:09:25 +0000 UTC,2022-08-31 02:33:16 +0000 UTC,JavaScript,19,64,423,1264,2019-05-10T02:31:27Z,20393
hackingtool,2020-04-11 09:21:31 +0000 UTC,2022-08-31 07:38:39 +0000 UTC,Python,0,25,70,154,No Releases,20383
highlight.js,2011-01-01 23:47:21 +0000 UTC,2022-08-31 10:32:25 +0000 UTC,JavaScript,34,1289,55,1793,2022-07-13T15:09:49Z,20380
spleeter,2019-09-26 15:40:46 +0000 UTC,2022-08-31 11:07:17 +0000 UTC,Python,2,46,144,538,2021-09-03T09:55:05Z,20366
security-guide-for-developers,2016-06-08 15:56:25 +0000 UTC,2022-08-31 08:27:19 +0000 UTC,,0,26,8,4,No Releases,20333
lx-music-desktop,2019-08-14 14:31:08 +0000 UTC,2022-08-31 10:35:55 +0000 UTC,JavaScript,87,5,156,750,2022-08-18T09:15:24Z,20331
pumpkin-book,2018-12-22 05:05:24 +0000 UTC,2022-08-31 11:14:02 +0000 UTC,,4,45,17,49,2021-04-15T14:14:36Z,20314
envoy,2016-08-08 15:07:24 +0000 UTC,2022-08-31 09:07:00 +0000 UTC,C++,91,12326,1221,6639,2022-08-25T22:46:04Z,20297
bitcoinbook,2013-08-11 23:18:28 +0000 UTC,2022-08-31 09:54:10 +0000 UTC,AsciiDoc,3,435,55,295,2018-03-03T21:05:35Z,20265
go-zero,2020-08-07 15:37:57 +0000 UTC,2022-08-31 09:52:38 +0000 UTC,Go,71,1110,69,850,2022-08-07T08:49:22Z,20255
You-Dont-Need-jQuery,2015-11-21 16:02:26 +0000 UTC,2022-08-31 05:21:59 +0000 UTC,JavaScript,1,164,2,66,2016-01-13T10:03:53Z,20234
es6tutorial,2014-04-20 13:06:28 +0000 UTC,2022-08-30 20:48:48 +0000 UTC,JavaScript,0,359,0,545,No Releases,20233
notable,2018-12-22 13:57:19 +0000 UTC,2022-08-31 06:37:51 +0000 UTC,TypeScript,20,25,640,891,2020-01-18T01:52:49Z,20216
react-native-web,2015-06-09 19:25:38 +0000 UTC,2022-08-31 07:28:53 +0000 UTC,JavaScript,20,55,82,1537,2022-06-10T20:30:24Z,20187
taichi,2016-11-24 10:00:05 +0000 UTC,2022-08-31 09:25:12 +0000 UTC,C++,104,3573,531,1406,2022-08-18T13:20:18Z,20147
Aerial,2015-10-26 21:21:31 +0000 UTC,2022-08-31 02:54:40 +0000 UTC,Swift,183,216,44,921,2022-08-29T17:06:21Z,20142
bluebird,2013-09-07 19:39:57 +0000 UTC,2022-08-31 08:26:21 +0000 UTC,JavaScript,123,290,66,1072,2019-11-28T22:54:31Z,20141
android-best-practices,2014-07-29 09:09:44 +0000 UTC,2022-08-31 00:37:33 +0000 UTC,,0,80,23,61,No Releases,20141
SummaryOfLoanSuspension,2022-07-12 16:33:25 +0000 UTC,2022-08-31 08:52:50 +0000 UTC,HTML,0,265,0,0,No Releases,20126
run,2022-04-10 05:42:40 +0000 UTC,2022-08-31 11:20:33 +0000 UTC,,0,160,43,176,No Releases,20119
skywalking,2015-11-07 03:30:36 +0000 UTC,2022-08-31 09:27:43 +0000 UTC,Java,52,3737,68,4306,2022-06-09T01:34:33Z,20113
vant,2017-04-19 07:55:31 +0000 UTC,2022-08-31 10:15:26 +0000 UTC,TypeScript,182,4200,32,6325,2022-08-24T14:47:21Z,20113
DeepSpeech,2016-06-02 15:04:53 +0000 UTC,2022-08-31 08:57:52 +0000 UTC,C++,105,1338,104,1965,2020-12-19T09:28:21Z,20110
validator.js,2010-10-06 06:58:48 +0000 UTC,2022-08-31 11:10:50 +0000 UTC,JavaScript,9,649,142,786,2021-11-01T21:02:10Z,20093
electron-react-boilerplate,2015-05-18 09:54:57 +0000 UTC,2022-08-31 07:24:55 +0000 UTC,TypeScript,58,771,44,1659,2022-05-15T01:16:56Z,20085
vegeta,2013-08-13 11:45:21 +0000 UTC,2022-08-31 11:05:57 +0000 UTC,Go,63,130,82,302,2020-10-11T10:37:33Z,20078
gfwlist,2015-03-13 13:24:56 +0000 UTC,2022-08-31 08:28:52 +0000 UTC,,0,0,404,1843,No Releases,20076
v8,2014-09-24 15:24:30 +0000 UTC,2022-08-31 11:10:53 +0000 UTC,C++,0,0,0,0,No Releases,20076
micro,2016-03-11 02:06:28 +0000 UTC,2022-08-30 20:30:31 +0000 UTC,Go,33,548,619,1181,2022-07-24T21:14:52Z,20067
incubator-mxnet,2015-04-30 16:21:15 +0000 UTC,2022-08-31 07:46:27 +0000 UTC,C++,34,8825,1783,7743,2022-04-21T22:45:57Z,20067
IntelliJ-IDEA-Tutorial,2015-08-17 15:25:52 +0000 UTC,2022-08-31 10:04:27 +0000 UTC,,0,39,1,75,No Releases,20029
jax,2018-10-25 21:25:02 +0000 UTC,2022-08-31 10:57:12 +0000 UTC,Python,40,6012,843,2596,2022-08-11T23:48:35Z,20026
editor.js,2015-11-28 20:56:35 +0000 UTC,2022-08-31 10:13:09 +0000 UTC,TypeScript,31,677,382,742,2022-06-17T15:31:55Z,20011
celery,2009-04-24 11:31:24 +0000 UTC,2022-08-31 10:25:42 +0000 UTC,Python,37,1812,505,4229,2022-08-01T11:16:37Z,19995
ReactiveCocoa,2012-03-02 22:11:24 +0000 UTC,2022-08-29 11:41:14 +0000 UTC,Swift,83,1348,0,2002,2021-11-20T14:18:05Z,19987
GPUImage,2012-02-13 15:20:02 +0000 UTC,2022-08-30 22:40:03 +0000 UTC,Objective-C,3,241,904,1308,2015-04-23T18:15:29Z,19983
libuv,2013-11-30 00:29:56 +0000 UTC,2022-08-31 09:17:12 +0000 UTC,C,5,687,112,1371,2022-07-12T16:17:10Z,19965
Awesome,2016-05-30 17:27:35 +0000 UTC,2022-08-31 07:22:41 +0000 UTC,,0,206,33,75,No Releases,19957
api-guidelines,2016-07-12 20:01:24 +0000 UTC,2022-08-31 08:27:05 +0000 UTC,,0,135,83,88,No Releases,19953
How-to-Make-a-Computer-Operating-System,2013-11-29 17:36:32 +0000 UTC,2022-08-30 17:25:31 +0000 UTC,C,1,42,44,28,2014-05-29T23:56:36Z,19951
ava,2014-11-18 17:20:26 +0000 UTC,2022-08-31 02:53:31 +0000 UTC,JavaScript,88,996,90,1495,2022-08-25T13:20:55Z,19948
enzyme,2015-11-10 21:45:38 +0000 UTC,2022-08-31 06:27:19 +0000 UTC,JavaScript,0,646,257,1501,No Releases,19934
go-patterns,2015-12-14 22:05:06 +0000 UTC,2022-08-31 10:36:15 +0000 UTC,Go,0,10,13,13,No Releases,19932
games,2012-01-05 19:48:55 +0000 UTC,2022-08-31 10:51:45 +0000 UTC,,0,192,162,82,No Releases,19931
